,Envigado,San Diego,Zamora
2018-01-31,14.75035593767326,14.16743141730968,14.958306051454958
2018-02-28,14.503678110782117,14.485248222387163,14.781099893682882
2018-03-31,14.59901592638493,14.434895253905882,14.927387729537905
2018-04-30,14.596695114351157,14.30522044956912,14.98406190999192
2018-05-31,14.585634485694415,13.968797234190752,15.132055943420694
2018-06-30,14.571861557421027,13.975007694074723,15.100862204307795
2018-07-31,14.547949688226655,14.567783615006274,14.855503499643214
2018-08-31,14.620810546731859,14.558601778532324,14.897793828482477
2018-09-30,14.597050991770402,14.529933806929566,14.842580789230174
2018-10-31,14.619249151094682,14.519702783919108,14.886620113402227
2018-11-30,14.573890368275162,14.475298986833554,14.843839035133682
2018-12-31,14.573833671534173,14.497709792110584,14.863298346273565
2019-01-31,14.559202651887036,14.550095008875473,14.851657333124539
2019-02-28,14.50062968083059,14.494621711355288,14.826235335294575
2019-03-31,14.618373904345523,14.716524023779066,14.818057520683633
2019-04-30,14.572231514601143,14.604192922058761,14.869232070243934
2019-05-31,14.602568854549618,14.706301140102687,14.897557755431857
2019-06-30,14.564437009127625,14.616462067905301,14.791778801279396
2019-07-31,14.592711720315974,14.718902492158662,14.87523245311223
2019-08-31,14.619926817780208,14.70521050079848,14.873491362991556
2019-09-30,14.508082992489355,14.702744849314904,14.88674698730397
2019-10-31,14.639333701994675,14.661975030608934,14.910064649980104
2019-11-30,14.591894197371506,14.621004266806805,14.842353631918815
2019-12-31,14.607360734349875,14.653234162746863,14.890929983830702
2020-01-31,14.621898138059148,14.67745069914283,14.87104185280592
2020-02-29,14.593480037179283,14.60746181030056,14.877134154465935
2020-03-31,14.476017361801937,14.498885144904854,14.795164689841537
2020-04-30,14.280313430438962,14.26744568045729,14.614469544265356
2020-05-31,14.5496879366486,14.514316696375898,14.81267334704501
2020-06-30,14.578137372483095,14.536224267993083,14.734544609733097
2020-07-31,14.506355315982516,14.550379903321614,14.814272322865039
2020-08-31,14.5303216313161,14.485251967585356,14.794012613401128
2020-09-30,14.622953467343883,14.604410342535429,14.85730721296601
2020-10-31,14.637066018922315,14.72305458215499,14.778897189571149
2020-11-30,14.4800947461589,14.663259916382328,14.696474423325355
2020-12-31,14.360872717696743,14.788613906083947,14.821792261121566
2021-01-31,14.47412520351007,14.623209141186168,14.6545662208561
2021-02-28,14.514756193091044,14.536202889001032,14.757500084837949
2021-03-31,14.538081190344172,14.675302074867393,14.72583766110121
2021-04-30,14.34536150288464,14.408211526206362,14.643711185922973
2021-05-31,14.414911980773333,14.418950745259751,14.721860828756554
2021-06-30,14.440501729627211,14.482520379415016,14.724435001230514
2021-07-31,14.451387923950028,14.5576071947679,14.808361016755073
2021-08-31,14.538015320522328,14.575048781589212,14.862330846157235
2021-09-30,14.532191064279251,14.575969617534659,14.902965969494899
2021-10-31,14.537003597194614,14.5742816318385,14.936851828170347
2021-11-30,14.4948728931129,14.567967634349419,14.924648484901795
2021-12-31,14.61083287910737,14.55473140349129,14.986077067127187
2022-01-31,14.618027200457757,14.541705326510012,14.972375008389724
2022-02-28,14.562585247245678,14.55516200105776,14.903880138741215
2022-03-31,14.60722119341309,14.68576366670975,14.972461481256229
2022-04-30,14.369314893790374,14.76033102724035,14.94745145718642
2022-05-31,14.585405232786764,14.727927221717746,14.99554839404986
2022-06-30,14.620925134523615,14.736713641657122,14.791018685364472
2022-07-31,14.631991704553686,14.872341844147066,14.769341237064912
2022-08-31,14.646748129853403,14.878409741290644,14.82258134081349
2022-09-30,14.554168372336457,14.674477215218667,14.947653479181627
2022-10-31,14.59309080782503,14.595783379818768,14.974891160712826
2022-11-30,14.533627844804775,14.584494305083123,14.962622194868162
2022-12-31,14.577729650487386,14.597126386511828,14.989734898662077
2023-01-31,14.558257389827661,14.567372302046056,14.97696045769847
2023-02-28,14.531270099671628,14.56939000160595,14.882784679745772
2023-03-31,14.575637167595707,14.613284610131048,15.012387672561632
2023-04-30,14.52757465236849,14.524994194012894,14.928009764362598
2023-05-31,14.618920701221906,14.6028206695812,14.977248514569
2023-06-30,14.567763857410196,14.575351552536045,14.919142468723363
2023-07-31,14.561065775672622,14.593369337634115,14.954312663130215
2023-08-31,14.58881380969495,14.571214609990406,14.992383072413162
2023-09-30,14.58219779057756,14.580916770297792,14.977646600098607
2023-10-31,14.591487685189616,14.575042211094603,15.004872801245773
2023-11-30,14.540335816426486,14.498729869918773,14.959400995269565
2023-12-31,14.59395644838642,14.599045596281579,15.017749589304062
2024-01-31,14.581277564326511,14.574813505901325,15.001255364898002
2024-02-29,14.56805241311263,14.523324035667349,14.977023593286695
2024-03-31,14.570347499419745,14.40890853330889,14.99521815317546
2024-04-30,14.585571538729697,14.574894231354104,14.99550212328414
2024-05-31,14.60178233641071,14.652112852736996,14.974037387098758
2024-06-30,14.531176415486474,14.555783422977445,14.886976935728462
2024-07-31,14.598431088610447,14.613698828170989,14.935611975266408
2024-08-31,14.621645880808385,14.687760579137835,14.985851732806394
2024-09-30,14.601655473961532,14.700513904457512,14.932812454621596
2024-10-31,14.646586697663729,14.669422567987656,14.988223143225696
2024-11-30,14.551107607337853,14.5749345916369,14.931232547725978
2024-12-31,14.558575599937365,14.66794040571969,14.964374183816016
